forecast_date,state,electoral_vote,party,win,p_10,proj_vote,p_90,tipping_point,poll_avg,fund_avg,ss_avg,experts_avg,poll_weight,fund_weight,ss_weight,experts_weight
01/01/20,Pennsylvania,20,gop,36.826,38.879,46.922,54.966,13.552,45.704,46.896,46.460,48.000,28.069066466213975,75,15,40
01/01/20,Pennsylvania,20,dem,63.174,42.200,50.244,58.287,13.552,50.987,50.795,50.232,48.692,28.069066466213975,75,15,40
01/01/20,Pennsylvania,20,third,0.000,1.020,2.834,4.648,13.552,3.308,2.308,3.308,3.308,28.069066466213975,75,15,40
01/01/20,Rhode Island,4,gop,2.356,27.576,36.833,46.090,0.006,0.000,36.055,37.161,38.168,0,75,15,40
01/01/20,Rhode Island,4,dem,97.644,49.607,58.864,68.121,0.006,0.000,60.065,57.958,56.952,0,75,15,40
01/01/20,Rhode Island,4,third,0.000,1.549,4.303,7.057,0.006,0.000,3.880,4.880,4.880,0,75,15,40
01/01/20,South Carolina,9,gop,93.132,47.451,55.713,63.974,0.046,0.000,54.790,54.675,57.832,0,75,15,40
01/01/20,South Carolina,9,dem,6.868,33.591,41.853,50.115,0.046,0.000,43.199,42.314,39.156,0,75,15,40
01/01/20,South Carolina,9,third,0.000,0.876,2.434,3.992,0.046,0.000,2.011,3.011,3.011,0,75,15,40
01/01/20,South Dakota,3,gop,99.724,53.406,61.889,70.371,0.000,0.000,61.611,60.875,62.789,0,75,15,40
01/01/20,South Dakota,3,dem,0.276,26.107,34.590,43.073,0.000,0.000,35.290,35.026,33.113,0,75,15,40
01/01/20,South Dakota,3,third,0.000,1.268,3.522,5.775,0.000,0.000,3.099,4.099,4.099,0,75,15,40
01/01/20,Tennessee,11,gop,99.426,52.822,61.138,69.455,0.000,0.000,60.601,60.103,62.535,0,75,15,40
01/01/20,Tennessee,11,dem,0.574,28.503,36.820,45.137,0.000,0.000,37.780,37.279,34.847,0,75,15,40
01/01/20,Tennessee,11,third,0.000,0.735,2.042,3.349,0.000,0.000,1.619,2.619,2.619,0,75,15,40
