date,state,margin
04/05/20,Arizona,2.346360172
04/06/20,Arizona,2.344998751
04/07/20,Arizona,2.343723572
04/08/20,Arizona,2.342376769
04/09/20,Arizona,2.341520474
04/10/20,Arizona,2.339444938
04/11/20,Arizona,2.338193694
04/12/20,Arizona,2.338376159
04/13/20,Arizona,2.338618562
04/14/20,Arizona,2.338368818
04/15/20,Arizona,2.338190174
04/16/20,Arizona,2.337367419
04/17/20,Arizona,2.335813144
04/18/20,Arizona,2.330651812
04/19/20,Arizona,2.329478387
04/20/20,Arizona,2.33100692
04/21/20,Arizona,2.330752778
04/22/20,Arizona,2.331555663
04/23/20,Arizona,2.33067368
04/24/20,Arizona,2.328504709
04/25/20,Arizona,2.329182773
04/26/20,Arizona,2.330905176
04/27/20,Arizona,2.330932251
04/28/20,Arizona,2.331777176
04/29/20,Arizona,2.331731372
04/30/20,Arizona,2.331521241
05/01/20,Arizona,2.333154452
05/02/20,Arizona,2.33296679
05/03/20,Arizona,2.333047393
05/04/20,Arizona,2.332466664
05/05/20,Arizona,2.333027478
05/06/20,Arizona,2.333377213
05/07/20,Arizona,2.333403928
05/08/20,Arizona,2.334764679
05/09/20,Arizona,2.336546181
05/10/20,Arizona,2.336347023
05/11/20,Arizona,2.335359848
05/12/20,Arizona,2.336456563
05/13/20,Arizona,2.335830589
05/14/20,Arizona,2.335397482
05/15/20,Arizona,2.338404298
05/16/20,Arizona,2.338922424
05/17/20,Arizona,2.340661135
05/18/20,Arizona,2.341176434
05/19/20,Arizona,2.343550675
05/20/20,Arizona,2.344076386
05/21/20,Arizona,2.343600095
05/22/20,Arizona,2.343484846
05/23/20,Arizona,2.349960934
05/24/20,Arizona,2.356994755
05/25/20,Arizona,2.358514687
05/26/20,Arizona,2.359663962
05/27/20,Arizona,2.359792639
05/28/20,Arizona,2.359469853
05/29/20,Arizona,2.359470335
05/30/20,Arizona,2.359474329
05/31/20,Arizona,2.358573849
06/01/20,Arizona,2.357848006
06/02/20,Arizona,2.356508571
06/03/20,Arizona,2.35546684
06/04/20,Arizona,2.354086557
06/05/20,Arizona,2.352237017
06/06/20,Arizona,2.351520359
06/07/20,Arizona,2.351465822
06/08/20,Arizona,2.347986642
06/09/20,Arizona,2.345078143
06/10/20,Arizona,2.343634416
06/11/20,Arizona,2.342526922
06/12/20,Arizona,2.341231133
06/13/20,Arizona,2.339954753
06/14/20,Arizona,2.338991775
06/15/20,Arizona,2.337140951
06/16/20,Arizona,2.336066321
06/17/20,Arizona,2.335564361
06/18/20,Arizona,2.335011488
06/19/20,Arizona,2.33530355
06/20/20,Arizona,2.337547676
06/21/20,Arizona,2.337747062
06/22/20,Arizona,2.333760395
06/23/20,Arizona,2.32285709
06/24/20,Arizona,2.319637382
06/25/20,Arizona,2.318190964
06/26/20,Arizona,2.321375031
06/27/20,Arizona,2.320502822
06/28/20,Arizona,2.318792681
06/29/20,Arizona,2.320618544
06/30/20,Arizona,2.319761628
07/01/20,Arizona,2.319260866
07/02/20,Arizona,2.318420051
07/03/20,Arizona,2.312570537
07/04/20,Arizona,2.310631974
07/05/20,Arizona,2.30922402
07/06/20,Arizona,2.309145737
07/07/20,Arizona,2.308337683
07/08/20,Arizona,2.30797974
07/09/20,Arizona,2.307062279
07/10/20,Arizona,2.307992435
07/11/20,Arizona,2.30772281
07/12/20,Arizona,2.308259015
07/13/20,Arizona,2.307911171
07/14/20,Arizona,2.307815553
07/15/20,Arizona,2.307258344
07/16/20,Arizona,2.307587785
07/17/20,Arizona,2.308315633
07/18/20,Arizona,2.309363983
07/19/20,Arizona,2.308810116
07/20/20,Arizona,2.309474084
07/21/20,Arizona,2.309728554
07/22/20,Arizona,2.312084974
07/23/20,Arizona,2.311950869
07/24/20,Arizona,2.31424769
07/25/20,Arizona,2.314482246
07/26/20,Arizona,2.314625788
07/27/20,Arizona,2.312680919
07/28/20,Arizona,2.312367326
07/29/20,Arizona,2.310779794
07/30/20,Arizona,2.309026211
07/31/20,Arizona,2.306054341
08/01/20,Arizona,2.3044671
08/02/20,Arizona,2.303357317
08/03/20,Arizona,2.303103629
08/04/20,Arizona,2.301875598
08/05/20,Arizona,2.301422372
08/06/20,Arizona,2.300494179
08/07/20,Arizona,2.299599764
08/08/20,Arizona,2.300298675
08/09/20,Arizona,2.298861447
08/10/20,Arizona,2.299649242
08/11/20,Arizona,2.300240813
08/12/20,Arizona,2.299945616
08/13/20,Arizona,2.299690205
08/14/20,Arizona,2.299260632
08/15/20,Arizona,2.300037249
08/16/20,Arizona,2.30033707
08/17/20,Arizona,2.301152434
08/18/20,Arizona,2.300611489
08/19/20,Arizona,2.300747914
08/20/20,Arizona,2.30140447
08/21/20,Arizona,2.301019713
08/22/20,Arizona,2.301162205
08/23/20,Arizona,2.302202677
08/24/20,Arizona,2.302541146
08/25/20,Arizona,2.301040635
08/26/20,Arizona,2.300810604
08/27/20,Arizona,2.300883231
08/28/20,Arizona,2.301402143
08/29/20,Arizona,2.301533424
08/30/20,Arizona,2.302650139
08/31/20,Arizona,2.302230823
09/01/20,Arizona,2.301763187
09/02/20,Arizona,2.302160432
09/03/20,Arizona,2.3017887
09/04/20,Arizona,2.302909348
09/05/20,Arizona,2.302781844
09/06/20,Arizona,2.302815975
09/07/20,Arizona,2.302661723
09/08/20,Arizona,2.303209729
09/09/20,Arizona,2.303916709
09/10/20,Arizona,2.303537055
09/11/20,Arizona,2.303781149
09/12/20,Arizona,2.30310936
09/13/20,Arizona,2.304658102
09/14/20,Arizona,2.304741751
09/15/20,Arizona,2.305092934
09/16/20,Arizona,2.305307443
09/17/20,Arizona,2.305958125
09/18/20,Arizona,2.305743022
09/19/20,Arizona,2.305219222
09/20/20,Arizona,2.304914615
09/21/20,Arizona,2.304774205
09/22/20,Arizona,2.304157468
09/23/20,Arizona,2.304431109
09/24/20,Arizona,2.305479521
09/25/20,Arizona,2.306564665
09/26/20,Arizona,2.306347496
09/27/20,Arizona,2.305147296
09/28/20,Arizona,2.305011489
09/29/20,Arizona,2.30462256
09/30/20,Arizona,2.304221761
10/01/20,Arizona,2.304357295
10/02/20,Arizona,2.303294605
10/03/20,Arizona,2.302942697
10/04/20,Arizona,2.30299572
10/05/20,Arizona,2.302612409
10/06/20,Arizona,2.302538878
