today,state,primary_date,total_delegates,Bidenproj,Bloombergproj,Buttigiegproj,Klobucharproj,Sandersproj,Steyerproj,Warrenproj,Yangproj,voteperc,dateindex,bi,bl,bu,kl,sa,st,wa,ya,abbrev,radius,xValue,yValue
2020-01-31,Idaho,2020-03-10,20,19.861571264139037,15.89101721143395,11.516044340105372,4.727095723376509,35.97554099475805,3.3278531013517783,8.700877364835314,0.0,0.0028385166084072596,43861Idaho,5,4,1,0,10,0,0,0,ID,10.954451150103322,188.0,173.0
2020-01-31,Michigan,2020-03-10,125,18.36540083783841,16.43532147482763,12.999846156299801,7.127168909309492,31.196038471527388,1.5500770624419549,12.32614708775532,0.0,0.03393743410693288,43861Michigan,31,28,8,0,52,0,6,0,MI,21.908902300206645,418.0,149.0
2020-01-31,Mississippi,2020-03-10,36,36.938317931274725,21.73088877667922,5.822234144765743,4.307707196465661,20.567057484635658,2.3411645682049484,8.292629897974034,0.0,0.007256619507038823,43861Mississippi,17,10,0,0,9,0,0,0,MS,13.416407864998739,373.0,324.0
2020-01-31,Missouri,2020-03-10,68,27.18507774242161,23.884781924065987,10.456344614943994,7.69012210148704,19.346310147037528,1.7489464132338977,9.688417056809943,0.0,0.016021101397694762,43861Missouri,26,23,1,0,18,0,0,0,MO,17.320508075688775,329.0,251.0
2020-01-31,North Dakota,2020-03-10,14,16.018098416020408,15.358280012262112,15.179583538173185,7.622633478663489,32.60231572995006,1.0691397313757813,12.149949093554977,0.0,0.0014024379636447598,43861North Dakota,3,3,3,0,6,0,0,0,ND,9.486832980505138,257.0,136.0
2020-01-31,Washington,2020-03-10,89,12.315125498734862,19.583127715125748,12.117990162502633,8.08474569564344,32.89928875090551,1.8232182660031748,13.17650391108465,0.0,0.026067683644351077,43861Washington,4,28,4,0,47,0,6,0,WA,18.973665961010276,154.0,131.0
2020-01-31,Northern Marianas,2020-03-14,6,22.89657469702131,16.220571920621467,10.774570819225564,5.077546023733231,29.813553235600743,2.267497907849223,12.949685395948462,0.0,0.0,43861Northern Marianas,2,1,0,0,3,0,0,0,,,,
2020-01-31,Arizona,2020-03-17,67,21.939729952713424,15.324475923271436,11.966257755430645,4.866368201216819,31.48304990370912,2.6430738842893646,11.777044379369201,0.0,0.035812053209236465,43861Arizona,19,14,3,0,28,0,3,0,AZ,18.16590212458495,172.0,282.0
2020-01-31,Florida,2020-03-17,219,28.91169152627701,26.264564216685475,9.032440034182192,5.464058208958053,19.83872218921906,1.6850119711608935,8.803511853517314,0.0,0.017368807813002568,43861Florida,84,77,0,0,58,0,0,0,FL,29.49576240750525,483.0,380.0
2020-01-31,Illinois,2020-03-17,155,19.51499248299425,17.682743998340115,14.485032984841558,7.6622344763754135,29.7500019856969,2.2970617785163,8.607932293235464,0.0,0.0673856947169367,43861Illinois,41,38,13,0,63,0,0,0,IL,24.49489742783178,359.0,207.0
2020-01-31,Ohio,2020-03-17,136,19.351176866161417,18.04279502797809,13.525795361821293,6.495040601087733,29.73022039939761,1.8272913124625625,11.027680431091305,0.0,0.04623131556707486,43861Ohio,35,33,10,0,54,0,4,0,OH,23.2379000772445,459.0,191.0
2020-01-31,Georgia,2020-03-24,105,31.33361844324084,22.4224926925875,8.417349782665868,4.98877084951229,24.59252338909841,2.1636040642148737,6.081640778680212,0.0,0.028090686720282046,43861Georgia,42,30,0,0,33,0,0,0,GA,21.908902300206645,443.0,298.0
2020-01-31,Puerto Rico,2020-03-29,51,27.012675164780358,15.354650550624823,10.19937956391302,4.806485568491057,28.221982174569366,2.146449469826324,12.258377507795059,0.0,0.014958061857598922,43861Puerto Rico,18,10,1,0,19,0,3,0,PR,16.431676725154983,630.0,380.0
2020-01-31,Alaska,2020-04-04,15,23.76772194734563,14.365778398161213,10.89844322248308,4.435966533030734,30.210830881997886,3.181040651746235,13.140218365235237,0.0,0.001741926135564825,43861Alaska,7,0,0,0,8,0,0,0,AK,9.486832980505138,41.0,19.0
2020-01-31,Hawaii,2020-04-04,24,16.67676605658662,16.22397447359792,9.70575902124948,4.27850747407504,35.040797408798575,3.6448457389418536,14.42934982675049,0.0,0.003992172087236434,43861Hawaii,5,5,0,0,11,0,2,0,HI,10.954451150103322,88.0,372.0
2020-01-31,Louisiana,2020-04-04,54,35.11149606232916,21.49869556933392,6.310031717965282,4.44309359312929,21.450540855400092,2.3143915244009916,8.87175067744125,0.0,0.011669591790453229,43861Louisiana,24,15,0,0,15,0,0,0,LA,15.491933384829668,326.0,335.0
2020-01-31,Wyoming,2020-04-04,14,24.116669823000976,14.599780896406886,10.478951051753272,4.282955619917801,31.97992537560935,2.9918174706576997,11.549899762654016,0.0,0.0008372475963553845,43861Wyoming,6,0,0,0,8,0,0,0,WY,9.486832980505138,214.0,177.0
2020-01-31,Wisconsin,2020-04-07,84,14.15969147364709,17.911516594691694,13.774756963825501,8.731203679993259,32.911401399191625,1.3719125747920538,11.139517313858782,0.0,0.020680059008357385,43861Wisconsin,7,24,6,0,44,0,3,0,WI,17.320508075688775,359.0,146.0
2020-01-31,Connecticut,2020-04-28,60,17.064234103592874,17.49272867510869,12.877655429222227,4.234174364986331,30.062693346949583,3.2977959750070887,14.97071810513321,0.0,0.01342593749764878,43861Connecticut,13,14,4,0,23,0,6,0,CT,14.491376746189438,586.0,128.0
2020-01-31,Delaware,2020-04-28,21,30.998849120100765,15.987487901341831,10.838441730705634,3.9385712312893117,25.270132050223953,2.3655081317817386,10.601009834556788,0.0,0.0035241642478358788,43861Delaware,9,5,0,0,7,0,0,0,DE,9.486832980505138,557.0,183.0
2020-01-31,Maryland,2020-04-28,96,24.077105803001892,18.785796434620437,10.413615596807597,4.5660351547048865,28.410862648617467,2.354547249207186,11.39203711304054,0.0,0.025099717545422135,43861Maryland,31,24,2,0,36,0,3,0,MD,17.320508075688775,505.0,185.0
