state,cand,vote,delegates,label,xValue,yValue
New Mexico,Steyer,3.1,0,NM,385.3774,314.1035
New York,Steyer,1.8,0,NY,753.5781,163.2588
North Carolina,Steyer,3.2,0,NC,728.6084,284.5029
North Dakota,Steyer,1.1,0,ND,467.0742,117.3823
Ohio,Steyer,1.9,0,OH,670.7197,219.4883
Oklahoma,Steyer,1.6,0,OK,500.1963,306.418
Oregon,Steyer,3.4,0,OR,240.2783,139.5654
Pennsylvania,Steyer,1.5,0,PA,730.3535,200.856
Rhode Island,Steyer,3.3,0,RI,-1000.0,-1000.0
South Carolina,Steyer,15.6,11,SC,712.4395,315.6387
South Dakota,Steyer,1.1,0,SD,468.0742,163.5166
Tennessee,Steyer,2.3,0,TN,640.8594,294.8193
Texas,Steyer,1.8,0,TX,480.9902,374.2861
Utah,Steyer,2.7,0,UT,330.1084,234.978
Vermont,Steyer,1.8,0,VT,-1000.0,-1000.0
Virginia,Steyer,0.9,0,VA,731.0264,252.7842
Washington,Steyer,1.8,0,WA,256.9365,88.0762
West Virginia,Steyer,2.2,0,WV,701.0,243.0
Wisconsin,Steyer,1.4,0,WI,585.2529,163.2588
Wyoming,Steyer,3.0,0,WY,385.9287,179.6255
District of Columbia,Steyer,2.4,0,DC,-1000.0,-1000.0
Alabama,Warren,9.6,0,AL,637.0,338.6934
Alaska,Warren,13.5,0,AK,245.0,400.0
Arizona,Warren,12.2,3,AZ,315.0,306.5801
Arkansas,Warren,8.9,0,AR,560.0,315.6387
California,Warren,13.4,29,CA,223.0,253.9219
Colorado,Warren,16.9,17,CO,400.0,245.5645
Connecticut,Warren,15.4,11,CT,-1000.0,-1000.0
Delaware,Warren,11.5,0,DE,-1000.0,-1000.0
Florida,Warren,9.1,0,FL,714.0,397.8154
Georgia,Warren,6.6,0,GA,680.0117,335.2354
Hawaii,Warren,14.9,2,HI,380.0,465.0
Idaho,Warren,9.1,0,ID,310.1851,155.0
Illinois,Warren,9.1,0,IL,596.6602,231.2954
Indiana,Warren,12.5,4,IN,633.4111,228.4214
Iowa,Warren,18.0,8,IA,545.8457,202.6782
Kansas,Warren,13.1,2,KS,487.0,259.1592
Kentucky,Warren,11.3,2,KY,655.1484,264.9658
Louisiana,Warren,9.2,0,LA,561.4404,369.8135
Maine,Warren,13.8,2,ME,807.3105,109.855
Maryland,Warren,11.8,4,MD,-1000.0,-1000.0
Massachusetts,Warren,20.0,25,MA,-1000.0,-1000.0
Michigan,Warren,12.9,7,MI,645.6465,181.3647
Minnesota,Warren,14.0,6,MN,530.8594,141.5874
Mississippi,Warren,8.6,0,MS,598.6016,342.1514
Missouri,Warren,10.2,1,MO,557.0,261.123
Montana,Warren,13.6,0,MT,370.0981,112.7705
Nebraska,Warren,12.8,2,NE,473.8364,210.0527
Nevada,Warren,12.9,0,NV,267.8765,219.0957
New Hampshire,Warren,9.3,0,NH,-1000.0,-1000.0
New Jersey,Warren,11.4,4,NJ,785.0,210.0
New Mexico,Warren,12.1,2,NM,385.3774,314.1035
New York,Warren,11.9,12,NY,753.5781,163.2588
North Carolina,Warren,9.4,0,NC,728.6084,284.5029
North Dakota,Warren,12.5,0,ND,467.0742,117.3823
Ohio,Warren,11.5,5,OH,670.7197,219.4883
Oklahoma,Warren,9.7,0,OK,500.1963,306.418
Oregon,Warren,13.9,5,OR,240.2783,139.5654
Pennsylvania,Warren,10.5,4,PA,730.3535,200.856
Rhode Island,Warren,15.6,5,RI,-1000.0,-1000.0
South Carolina,Warren,8.1,0,SC,712.4395,315.6387
South Dakota,Warren,12.9,1,SD,468.0742,163.5166
Tennessee,Warren,10.7,2,TN,640.8594,294.8193
Texas,Warren,14.0,18,TX,480.9902,374.2861
Utah,Warren,13.8,2,UT,330.1084,234.978
Vermont,Warren,10.4,0,VT,-1000.0,-1000.0
Virginia,Warren,9.7,1,VA,731.0264,252.7842
Washington,Warren,13.8,7,WA,256.9365,88.0762
West Virginia,Warren,4.6,0,WV,701.0,243.0
Wisconsin,Warren,11.7,3,WI,585.2529,163.2588
Wyoming,Warren,11.9,0,WY,385.9287,179.6255
District of Columbia,Warren,9.4,0,DC,-1000.0,-1000.0
Alabama,Yang,0.0,0,AL,637.0,338.6934
Alaska,Yang,0.0,0,AK,245.0,400.0
Arizona,Yang,0.0,0,AZ,315.0,306.5801
Arkansas,Yang,0.0,0,AR,560.0,315.6387
California,Yang,0.0,0,CA,223.0,253.9219
Colorado,Yang,0.0,0,CO,400.0,245.5645
Connecticut,Yang,0.0,0,CT,-1000.0,-1000.0
Delaware,Yang,0.0,0,DE,-1000.0,-1000.0
Florida,Yang,0.0,0,FL,714.0,397.8154
Georgia,Yang,0.0,0,GA,680.0117,335.2354
Hawaii,Yang,0.0,0,HI,380.0,465.0
Idaho,Yang,0.0,0,ID,310.1851,155.0
Illinois,Yang,0.0,0,IL,596.6602,231.2954
Indiana,Yang,0.0,0,IN,633.4111,228.4214
Iowa,Yang,1.0,0,IA,545.8457,202.6782
Kansas,Yang,0.0,0,KS,487.0,259.1592
Kentucky,Yang,0.0,0,KY,655.1484,264.9658
Louisiana,Yang,0.0,0,LA,561.4404,369.8135
Maine,Yang,0.0,0,ME,807.3105,109.855
Maryland,Yang,0.0,0,MD,-1000.0,-1000.0
Massachusetts,Yang,0.0,0,MA,-1000.0,-1000.0
Michigan,Yang,0.0,0,MI,645.6465,181.3647
Minnesota,Yang,0.0,0,MN,530.8594,141.5874
Mississippi,Yang,0.0,0,MS,598.6016,342.1514
Missouri,Yang,0.0,0,MO,557.0,261.123
Montana,Yang,0.0,0,MT,370.0981,112.7705
Nebraska,Yang,0.0,0,NE,473.8364,210.0527
Nevada,Yang,0.0,0,NV,267.8765,219.0957
New Hampshire,Yang,3.6,0,NH,-1000.0,-1000.0
New Jersey,Yang,0.0,0,NJ,785.0,210.0
New Mexico,Yang,0.0,0,NM,385.3774,314.1035
New York,Yang,0.0,0,NY,753.5781,163.2588
North Carolina,Yang,0.0,0,NC,728.6084,284.5029
North Dakota,Yang,0.0,0,ND,467.0742,117.3823
Ohio,Yang,0.0,0,OH,670.7197,219.4883
Oklahoma,Yang,0.0,0,OK,500.1963,306.418
Oregon,Yang,0.0,0,OR,240.2783,139.5654
Pennsylvania,Yang,0.0,0,PA,730.3535,200.856
Rhode Island,Yang,0.0,0,RI,-1000.0,-1000.0
South Carolina,Yang,0.0,0,SC,712.4395,315.6387
South Dakota,Yang,0.0,0,SD,468.0742,163.5166
Tennessee,Yang,0.0,0,TN,640.8594,294.8193
Texas,Yang,0.0,0,TX,480.9902,374.2861
Utah,Yang,0.0,0,UT,330.1084,234.978
Vermont,Yang,0.0,0,VT,-1000.0,-1000.0
Virginia,Yang,0.0,0,VA,731.0264,252.7842
Washington,Yang,0.0,0,WA,256.9365,88.0762
West Virginia,Yang,0.0,0,WV,701.0,243.0
Wisconsin,Yang,0.0,0,WI,585.2529,163.2588
Wyoming,Yang,0.0,0,WY,385.9287,179.6255
District of Columbia,Yang,0.0,0,DC,-1000.0,-1000.0
