state,cand,vote,delegates,radius,xValue,yValue,abbrev
Minnesota,Klobuchar,27.9,34,12.466419647612298,304,142,MN
Mississippi,Klobuchar,4.2,0,0.0,373,324,MS
Missouri,Klobuchar,7.5,0,0.0,329,251,MO
Montana,Klobuchar,4.7,0,0.0,206,131,MT
Nebraska,Klobuchar,7.2,0,0.0,258,209,NE
Nevada,Klobuchar,9.6,0,0.0,167,220,NV
New Hampshire,Klobuchar,19.8,6,5.236943745506094,612,54,NH
New Jersey,Klobuchar,4.2,0,0.0,551,147,NJ
New Mexico,Klobuchar,4.5,0,0.0,215,303,NM
New York,Klobuchar,6.1,0,0.0,548,81,NY
North Carolina,Klobuchar,5.5,0,0.0,499,278,NC
North Dakota,Klobuchar,7.2,0,0.0,257,136,ND
Ohio,Klobuchar,6.2,0,0.0,459,191,OH
Oklahoma,Klobuchar,6.7,0,0.0,270,294,OK
Oregon,Klobuchar,4.3,0,0.0,124,176,OR
Pennsylvania,Klobuchar,6.3,0,0.0,498,132,PA
Rhode Island,Klobuchar,4.2,0,0.0,619,126,RI
South Carolina,Klobuchar,5.1,0,0.0,487,322,SC
South Dakota,Klobuchar,7.3,0,0.0,257,167,SD
Tennessee,Klobuchar,4.9,0,0.0,379,284,TN
Texas,Klobuchar,6.1,0,0.0,271,355,TX
Utah,Klobuchar,5.0,0,0.0,204,218,UT
Vermont,Klobuchar,3.7,0,0.0,585,47,VT
Virginia,Klobuchar,7.4,0,0.0,508,229,VA
Washington,Klobuchar,7.9,0,0.0,154,131,WA
West Virginia,Klobuchar,5.3,0,0.0,451,242,WV
Wisconsin,Klobuchar,7.1,0,0.0,359,146,WI
Wyoming,Klobuchar,4.1,0,0.0,214,177,WY
District of Columbia,Klobuchar,3.8,0,0.0,536,193,DC
Alabama,Sanders,22.6,15,8.280335106986222,413,332,AL
Alaska,Sanders,31.1,9,6.413919994074849,41,19,AK
Arizona,Sanders,31.4,28,11.313091488924615,172,282,AZ
Arkansas,Sanders,24.1,10,6.760865303790066,325,290,AR
California,Sanders,35.5,232,32.56463959602535,103,237,CA
Colorado,Sanders,37.2,33,12.281721738615264,224,249,CO
Connecticut,Sanders,30.9,25,10.689866656791414,586,128,CT
Delaware,Sanders,25.9,8,6.047101762397742,557,183,DE
Florida,Sanders,21.4,63,16.969637233386923,483,380,FL
Georgia,Sanders,25.5,34,12.466419647612298,443,298,GA
Hawaii,Sanders,35.9,12,7.406156870279673,88,372,HI
