state,statecat,value,label,xValue,yValue,rank
Mississippi,Delaware,45.1,MS,598.6016,342.1514,46.0
Missouri,Delaware,75.8,MO,557.0,261.123,10.0
Montana,Delaware,54.6,MT,370.0981,112.7705,39.0
Nebraska,Delaware,65.3,NE,473.8364,210.0527,27.0
Nevada,Delaware,52.2,NV,267.8765,219.0957,43.0
New Hampshire,Delaware,71.4,NH,-1000.0,-1000.0,16.0
New Jersey,Delaware,87.0,NJ,785.0,210.0,3.0
New Mexico,Delaware,48.7,NM,385.3774,314.1035,45.0
New York,Delaware,74.8,NY,753.5781,163.2588,12.0
North Carolina,Delaware,80.3,NC,728.6084,284.5029,5.0
North Dakota,Delaware,56.0,ND,467.0742,117.3823,35.0
Ohio,Delaware,92.4,OH,670.7197,219.4883,1.0
Oklahoma,Delaware,65.8,OK,500.1963,306.418,26.0
Oregon,Delaware,58.5,OR,240.2783,139.5654,33.0
Pennsylvania,Delaware,84.5,PA,730.3535,200.856,4.0
Rhode Island,Delaware,87.4,RI,-1000.0,-1000.0,2.0
South Carolina,Delaware,55.0,SC,712.4395,315.6387,38.0
South Dakota,Delaware,60.6,SD,468.0742,163.5166,31.0
Tennessee,Delaware,75.7,TN,640.8594,294.8193,11.0
Texas,Delaware,55.6,TX,480.9902,374.2861,36.0
Utah,Delaware,53.8,UT,330.1084,234.978,42.0
Vermont,Delaware,67.3,VT,-1000.0,-1000.0,21.0
Virginia,Delaware,72.5,VA,731.0264,252.7842,14.0
Washington,Delaware,50.8,WA,256.9365,88.0762,44.0
West Virginia,Delaware,67.4,WV,701.0,243.0,20.0
Wisconsin,Delaware,71.3,WI,585.2529,163.2588,17.0
Wyoming,Delaware,54.0,WY,385.9287,179.6255,41.0
District of Columbia,Delaware,35.5,DC,-1000.0,-1000.0,0.0
Alabama,Florida,74.2,AL,637.0,338.6934,3.0
Alaska,Florida,51.5,AK,245.0,400.0,35.0
Arizona,Florida,57.5,AZ,315.0,306.5801,26.0
Arkansas,Florida,73.4,AR,560.0,315.6387,4.0
California,Florida,55.8,CA,223.0,253.9219,30.0
Colorado,Florida,59.1,CO,400.0,245.5645,23.0
Connecticut,Florida,50.4,CT,-1000.0,-1000.0,37.0
Delaware,Florida,65.8,DE,-1000.0,-1000.0,15.0
Florida,Florida,99.8,FL,714.0,397.8154,0.0
Georgia,Florida,70.4,GA,680.0117,335.2354,6.0
Hawaii,Florida,49.9,HI,380.0,465.0,38.0
Idaho,Florida,45.8,ID,310.1851,155.0,44.0
Illinois,Florida,75.0,IL,596.6602,231.2954,2.0
Indiana,Florida,60.8,IN,633.4111,228.4214,20.0
Iowa,Florida,49.6,IA,545.8457,202.6782,39.0
Kansas,Florida,56.1,KS,487.0,259.1592,29.0
Kentucky,Florida,58.2,KY,655.1484,264.9658,25.0
Louisiana,Florida,64.4,LA,561.4404,369.8135,16.0
Maine,Florida,52.8,ME,807.3105,109.855,33.0
Maryland,Florida,69.6,MD,-1000.0,-1000.0,8.0
Massachusetts,Florida,50.9,MA,-1000.0,-1000.0,36.0
Michigan,Florida,63.3,MI,645.6465,181.3647,17.0
Minnesota,Florida,49.4,MN,530.8594,141.5874,40.0
Mississippi,Florida,61.9,MS,598.6016,342.1514,19.0
Missouri,Florida,62.7,MO,557.0,261.123,18.0
Montana,Florida,47.4,MT,370.0981,112.7705,43.0
Nebraska,Florida,54.5,NE,473.8364,210.0527,31.0
Nevada,Florida,57.2,NV,267.8765,219.0957,27.0
New Hampshire,Florida,45.7,NH,-1000.0,-1000.0,45.0
New Jersey,Florida,68.3,NJ,785.0,210.0,10.0
New Mexico,Florida,60.6,NM,385.3774,314.1035,21.0
New York,Florida,69.5,NY,753.5781,163.2588,9.0
North Carolina,Florida,75.6,NC,728.6084,284.5029,1.0
North Dakota,Florida,48.8,ND,467.0742,117.3823,41.0
Ohio,Florida,67.3,OH,670.7197,219.4883,13.0
Oklahoma,Florida,57.0,OK,500.1963,306.418,28.0
Oregon,Florida,44.1,OR,240.2783,139.5654,47.0
