rank,state,state2,value
8,West Virginia,Missouri,51.4
9,West Virginia,Pennsylvania,51.3
10,West Virginia,Idaho,47.8
1,Wisconsin,Iowa,85.9
2,Wisconsin,Michigan,83.9
3,Wisconsin,Minnesota,79.4
4,Wisconsin,Pennsylvania,79.3
5,Wisconsin,Ohio,76.5
6,Wisconsin,Kansas,73.7
7,Wisconsin,Missouri,73.7
8,Wisconsin,Nebraska,73.3
9,Wisconsin,Indiana,72.2
10,Wisconsin,South Dakota,71.6
1,Wyoming,Idaho,83.1
2,Wyoming,Montana,72.9
3,Wyoming,South Dakota,71.9
4,Wyoming,North Dakota,69.3
5,Wyoming,Nebraska,68.8
6,Wyoming,Utah,67.3
7,Wyoming,Iowa,64.8
8,Wyoming,Kansas,62.6
9,Wyoming,Oklahoma,60.3
10,Wyoming,Missouri,58.7
1,District of Columbia,Maryland,57.0
2,District of Columbia,Virginia,50.0
3,District of Columbia,Delaware,47.7
4,District of Columbia,New Jersey,47.2
5,District of Columbia,New York,47.0
6,District of Columbia,North Carolina,46.1
7,District of Columbia,Connecticut,44.9
8,District of Columbia,Georgia,44.1
9,District of Columbia,South Carolina,44.0
10,District of Columbia,Pennsylvania,43.3
