state,statecat,value,label,xValue,yValue
Utah,Georgia,33.3,UT,330.1084,234.978
Vermont,Georgia,34.5,VT,-1000.0,-1000.0
Virginia,Georgia,71.0,VA,731.0264,252.7842
Washington,Georgia,36.1,WA,256.9365,88.0762
West Virginia,Georgia,41.4,WV,701.0,243.0
Wisconsin,Georgia,51.8,WI,585.2529,163.2588
Wyoming,Georgia,28.3,WY,385.9287,179.6255
District of Columbia,Georgia,44.1,DC,-1000.0,-1000.0
Alabama,Hawaii,9.0,AL,637.0,338.6934
Alaska,Hawaii,15.1,AK,245.0,400.0
Arizona,Hawaii,9.6,AZ,315.0,306.5801
