ev,gop,dem,gopY,demY,gopPerc,demPerc
321,100.53191489361703,90.95744680851064,49.46808510638297,59.04255319148936,0.3,0.3
322,105.31914893617021,84.57446808510639,44.68085106382979,65.42553191489361,0.3,0.3
323,102.12765957446808,94.14893617021276,47.87234042553192,55.851063829787236,0.3,0.3
324,114.8936170212766,94.14893617021276,35.1063829787234,55.851063829787236,0.4,0.3
325,111.70212765957447,121.27659574468085,38.29787234042553,28.723404255319153,0.4,0.4
326,130.85106382978725,78.19148936170212,19.14893617021275,71.80851063829788,0.4,0.2
327,113.29787234042554,111.70212765957447,36.70212765957446,38.29787234042553,0.4,0.4
328,150.0,102.12765957446808,0.0,47.87234042553192,0.5,0.3
329,121.27659574468085,95.74468085106383,28.723404255319153,54.25531914893617,0.4,0.3
330,94.14893617021276,95.74468085106383,55.851063829787236,54.25531914893617,0.3,0.3
331,122.87234042553192,75.0,27.127659574468083,75.0,0.4,0.2
332,103.72340425531914,97.3404255319149,46.27659574468086,52.6595744680851,0.3,0.3
333,111.70212765957447,110.1063829787234,38.29787234042553,39.8936170212766,0.4,0.3
334,118.08510638297872,103.72340425531914,31.914893617021278,46.27659574468086,0.4,0.3
335,126.06382978723406,103.72340425531914,23.936170212765944,46.27659574468086,0.4,0.3
336,118.08510638297872,76.59574468085106,31.914893617021278,73.40425531914894,0.4,0.2
337,127.65957446808511,97.3404255319149,22.34042553191489,52.6595744680851,0.4,0.3
338,132.4468085106383,98.93617021276596,17.553191489361694,51.06382978723404,0.4,0.3
339,129.25531914893617,90.95744680851064,20.744680851063833,59.04255319148936,0.4,0.3
340,132.4468085106383,92.5531914893617,17.553191489361694,57.446808510638306,0.4,0.3
341,145.2127659574468,135.63829787234044,4.7872340425531945,14.361702127659555,0.5,0.4
342,105.31914893617021,105.31914893617021,44.68085106382979,44.68085106382979,0.3,0.3
343,98.93617021276596,98.93617021276596,51.06382978723404,51.06382978723404,0.3,0.3
344,98.93617021276596,113.29787234042554,51.06382978723404,36.70212765957446,0.3,0.4
345,140.4255319148936,82.97872340425532,9.574468085106389,67.02127659574468,0.4,0.3
346,134.04255319148936,106.91489361702128,15.957446808510639,43.08510638297872,0.4,0.3
347,127.65957446808511,102.12765957446808,22.34042553191489,47.87234042553192,0.4,0.3
348,110.1063829787234,82.97872340425532,39.8936170212766,67.02127659574468,0.3,0.3
349,97.3404255319149,100.53191489361703,52.6595744680851,49.46808510638297,0.3,0.3
350,138.82978723404256,95.74468085106383,11.170212765957444,54.25531914893617,0.4,0.3
351,119.68085106382978,90.95744680851064,30.319148936170222,59.04255319148936,0.4,0.3
352,106.91489361702128,92.5531914893617,43.08510638297872,57.446808510638306,0.3,0.3
353,134.04255319148936,114.8936170212766,15.957446808510639,35.1063829787234,0.4,0.4
354,130.85106382978725,62.234042553191486,19.14893617021275,87.76595744680851,0.4,0.2
355,111.70212765957447,82.97872340425532,38.29787234042553,67.02127659574468,0.4,0.3
