rank,state,state_comp,value,comp_pvi
8,Rhode Island,New York,71.8,-22.52786675
9,Rhode Island,Maine,69.3,-5.002556374
10,Rhode Island,Illinois,66.2,-15.12454711
1,South Carolina,North Carolina,84.2,5.614413959
2,South Carolina,Georgia,80.2,8.653037898
3,South Carolina,Alabama,77.5,30.12071404
4,South Carolina,Delaware,73.1,-14.74814097
5,South Carolina,Mississippi,72.5,20.60447897
6,South Carolina,Virginia,71.8,-2.880027279
7,South Carolina,Louisiana,70.9,24.86084333
8,South Carolina,Tennessee,68.2,27.95210789
9,South Carolina,Ohio,67,9.673126597
10,South Carolina,Florida,66.9,4.586909528
1,South Dakota,North Dakota,86.9,35.66519749
2,South Dakota,Nebraska,86.8,29.50929736
3,South Dakota,Montana,77.4,19.04432764
4,South Dakota,Kansas,77.2,21.9404712
5,South Dakota,Missouri,74.2,19.83970086
6,South Dakota,Iowa,72.8,6.986805164
7,South Dakota,Oklahoma,72.8,37.50759662
8,South Dakota,Utah,72.3,32.06372464
9,South Dakota,Wyoming,71.9,48.09267157
10,South Dakota,Arkansas,71.7,31.71173634
1,Tennessee,Arkansas,85.3,31.71173634
2,Tennessee,Missouri,81.5,19.83970086
3,Tennessee,Indiana,81,19.72467972
4,Tennessee,Kentucky,80.3,30.52236505
5,Tennessee,Alabama,79.2,30.12071404
6,Tennessee,Ohio,78.9,9.673126597
7,Tennessee,Oklahoma,71.2,37.50759662
8,Tennessee,Michigan,70.7,0.420226814
9,Tennessee,South Dakota,69.8,31.44709825
10,Tennessee,South Carolina,68.2,16.71872913
1,Texas,Arizona,70,7.449078603
2,Texas,New Mexico,65.3,-9.070470147
3,Texas,Kansas,60.7,21.9404712
4,Texas,Florida,60.2,4.586909528
5,Texas,Nevada,56.5,0.008642973
6,Texas,Missouri,56.2,19.83970086
7,Texas,Illinois,55.2,-15.12454711
8,Texas,Oklahoma,55.1,37.50759662
9,Texas,Colorado,53.8,-2.973127033
10,Texas,Louisiana,52.8,24.86084333
1,Utah,Nebraska,78.8,29.50929736
2,Utah,North Dakota,75.3,35.66519749
3,Utah,Kansas,75,21.9404712
4,Utah,South Dakota,72.3,31.44709825
5,Utah,Idaho,71.7,36.87980388
6,Utah,Montana,70.8,19.04432764
7,Utah,Oregon,68.6,-10.63313409
8,Utah,Wyoming,67.3,48.09267157
9,Utah,Oklahoma,65.4,37.50759662
10,Utah,Arizona,65,7.449078603
1,Vermont,New Hampshire,84.2,-0.561806883
2,Vermont,Massachusetts,75.5,-26.97403839
3,Vermont,Maine,74.1,-5.002556374
4,Vermont,Rhode Island,72.8,-18.88398581
5,Vermont,Connecticut,65.2,-13.91177299
6,Vermont,Pennsylvania,64.1,1.22511585
7,Vermont,New York,59.2,-22.52786675
8,Vermont,Ohio,59.2,9.673126597
9,Vermont,Wisconsin,58.3,3.241616102
10,Vermont,Delaware,56.5,-14.74814097
