DATE,RPI,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.6499300292475749,ag2
2004-09-01,11959.694,2004-10-01,11934.212666666666,11880.440166666665,11819.506888888887,11782.29475,11738.497333333333,11695.91061111111,11648.025761904762,11612.867625,11763.969475446429,0.9618159418538158,11858.492,11730.978,11701.031,11574.945,11539.2,11364.418,11396.951,11317.786,0.006385353775730129,0.012740810413817583,0.010125252115722683,0.017913670432127216,0.017271330190423262,0.02916934339366173,0.022029993978631923,0.026072380675867146,0.01771351687199771,0.41087514905065475,2004-10-01,0.4609606756691239,,
2004-08-01,11944.486,2004-09-01,11900.478666666668,11842.320833333333,11790.766555555556,11750.232333333333,11710.4644,11662.839722222225,11621.228476190478,11586.121458333337,11733.056555704366,0.9616593691874777,11844.274,11688.277,11690.647,11565.037,11498.265,11342.881,11365.197,11317.208,0.004745302807640961,0.013179344854107544,0.0085640731052401,0.01601338009842368,0.018454906022778328,0.028207888474032883,0.02252767604384487,0.023761466461810654,0.016931754733484877,0.3741274380642282,2004-09-01,0.4275394318027054,,
2004-07-01,11898.458,2004-08-01,11867.074666666667,11799.619333333334,11762.562222222223,11718.611583333333,11680.716333333334,11629.417222222222,11593.643285714286,11559.984875,11701.453690228176,0.9614570192326263,11777.237,11673.666,11620.297,11549.941,11411.466,11374.851,11338.134,11325.366,0.00762807665895382,0.010789526900404356,0.0122428215235999,0.014603588306930204,0.023594718972420603,0.022379741257465335,0.02253539124817938,0.020716228950128368,0.016811261727260246,0.3667740214594818,2004-08-01,0.42083611216613126,,
2004-06-01,11858.492,2004-07-01,11826.667666666666,11762.154,11731.655444444445,11689.568500000001,11648.250200000002,11600.327944444445,11566.961190476191,11536.106041666666,11670.211373462302,0.9612617496225585,11730.978,11701.031,11574.945,11539.2,11364.418,11396.951,11317.786,11365.35,0.008157006744592632,0.005223727721087146,0.013538763635114082,0.013031102676095419,0.024975515684129368,0.017844855562197726,0.02201624862638263,0.015024266007352738,0.014976435832118967,0.2897572912325942,2004-07-01,0.35080315108622734,,
2004-05-01,11844.274,2004-06-01,11784.163,11735.9105,11700.150222222224,11662.960833333336,11615.311933333338,11574.68677777778,11541.213285714288,11515.558458333335,11641.24437633929,0.9611711982496305,11688.277,11690.647,11565.037,11498.265,11342.881,11365.197,11317.208,11345.334,0.008203604346474602,0.0038717703134820702,0.011682904449179299,0.014323537797514385,0.024017789954186908,0.018432568989150022,0.019793334691232012,0.015003917763314334,0.014416178538066704,0.2665811826722828,2004-06-01,0.3297257295429508,,
2004-04-01,11777.237,2004-05-01,11732.163999999999,11710.305999999999,11669.12388888889,11634.126750000001,11581.885733333334,11548.071388888891,11516.114904761906,11494.769291666666,11610.820244692462,0.9609981278744484,11673.666,11620.297,11549.941,11411.466,11374.851,11338.134,11325.366,11320.618,0.005011107907318957,0.007745843329133306,0.01031891755021852,0.01951201975276451,0.018201094091987224,0.01851604407646712,0.01684262608042042,0.015383549879226077,0.013941400333442017,0.24748050141540923,2004-05-01,0.31234574018441275,,
2004-03-01,11730.978,2004-04-01,11697.640333333331,11684.149333333335,11643.86877777778,11603.645833333334,11555.06,11523.676777777779,11494.597238095239,11475.743500000002,11584.79772420635,0.9610408503675523,11701.031,11574.945,11539.2,11364.418,11396.951,11317.786,11365.35,11304.44,-0.0002897750349237782,0.009434544469397954,0.009070713548407161,0.021050601388767465,0.01387292092420167,0.018191789257879565,0.011372042048440001,0.015153647593335151,0.012232060524438149,0.18899486145458622,2004-04-01,0.25918086044667404,,
2004-02-01,11688.277,2004-03-01,11687.658000000001,11658.143833333334,11622.56011111111,11573.099166666667,11532.791533333333,11500.721666666666,11477.186380952382,11457.971083333336,11563.766471924604,0.9613344029586451,11690.647,11565.037,11498.265,11342.881,11365.197,11317.208,11345.334,11319.255,-0.00025567447208008076,0.008050716425147098,0.010809901416527712,0.020296269234127307,0.014746293736336735,0.016215454082549874,0.011621727571209606,0.012254877492673844,0.011717445685811512,0.1720679500967821,2004-03-01,0.24381944581149692,,
2004-01-01,11673.666,2004-02-01,11688.447999999999,11637.603833333333,11601.447666666667,11544.316166666666,11511.252866666668,11480.106722222223,11460.855761904762,11442.595166666666,11545.828273015873,0.9617837634877974,11620.297,11549.941,11411.466,11374.851,11338.134,11325.366,11320.618,11325.709,0.00586482428116919,0.0075898944707450955,0.016648313780776913,0.014898231780501092,0.015268726464748639,0.013663198365706064,0.012387818571809595,0.010320428210425003,0.012080179490735199,0.18131729723867052,2004-02-01,0.2522687941704093,,
2003-12-01,11701.031,2004-01-01,11670.658333333333,11616.983,11572.314333333334,11519.414916666667,11488.884066666664,11460.75672222222,11444.043952380951,11428.09695833333,11525.144035367062,0.9620952261027207,11574.945,11539.2,11364.418,11396.951,11317.786,11365.35,11304.44,11314.301,0.008269009773552494,0.006740761924570071,0.01829361902504245,0.010745322732954365,0.015117626951655083,0.008394525661085783,0.012349479707172595,0.010057710001999176,0.011246006972254002,0.15634970904090778,2004-01-01,0.2295993015010726,,
