DATE,T10Y2YM,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.26797085473731763,ag2
2018-01-01,0.55,2018-02-01,0.5866666666666668,0.71,0.7844444444444444,0.8758333333333334,0.9453333333333334,0.9322222222222221,0.9290476190476188,0.9420833333333332,0.838203869047619,0.2990170732039476,0.81,0.95,1.06,1.22,0.92,0.83,1.04,1.19,-0.27572016460905335,-0.25263157894736843,-0.2599580712788261,-0.28210382513661203,0.02753623188405796,0.1231593038821952,-0.10668498168498197,-0.20833333333333348,-0.15434205240299026,0.5855658448431175,2018-02-01,0.3945333304170042,,
2017-12-01,0.56,2018-01-01,0.6733333333333333,0.7766666666666667,0.8411111111111111,0.9316666666666668,0.9700000000000002,0.9477777777777777,0.9523809523809522,0.96875,0.8827108134920635,0.31851141482474243,0.82,0.85,1.17,1.29,0.86,0.91,1.01,1.26,-0.17886178861788615,-0.08627450980392148,-0.28110161443494774,-0.2777777777777777,0.12790697674418627,0.04151404151404137,-0.05704856199905717,-0.2311507936507936,-0.11784925350326952,0.5903780198204703,2018-01-01,0.40913361648998503,,
2017-11-01,0.65,2017-12-01,0.7599999999999999,0.8249999999999998,0.9088888888888889,0.9925,0.99,0.9672222222222222,0.9738095238095238,0.9979166666666668,0.9269171626984127,0.3383122586537972,0.87,1.0,1.22,1.16,0.82,0.99,1.05,1.38,-0.12643678160919547,-0.17500000000000016,-0.2550091074681239,-0.1443965517241378,0.20731707317073167,-0.023007856341189736,-0.07256235827664403,-0.27687198067632834,-0.10824594536561097,0.5916987150357188,2017-12-01,0.4227744107811044,,
2017-10-01,0.81,2017-11-01,0.8333333333333334,0.8833333333333333,0.9722222222222222,1.0350000000000001,1.0013333333333334,0.9861111111111112,0.9928571428571429,1.0283333333333335,0.9665654761904763,0.3565238500179472,0.95,1.06,1.22,0.92,0.83,1.04,1.19,1.43,-0.12280701754385959,-0.16666666666666674,-0.2030965391621129,0.125,0.20642570281124506,-0.051816239316239354,-0.16566626650660254,-0.28088578088578076,-0.0824391009087521,0.595038987267854,2017-11-01,0.43602889576791615,,
2017-09-01,0.82,2017-10-01,0.8799999999999999,0.9250000000000002,1.017777777777778,1.0441666666666667,1.0026666666666666,0.9988888888888887,1.010952380952381,1.0541666666666667,0.9917023809523811,0.3686484524556735,0.85,1.17,1.29,0.86,0.91,1.01,1.26,1.46,0.0352941176470587,-0.2094017094017092,-0.21102497846683888,0.21414728682170536,0.10183150183150169,-0.011001100110011208,-0.19765684051398336,-0.2779680365296803,-0.06947246984024465,0.5967048800027461,2017-10-01,0.444667261638031,,
2017-08-01,0.87,2017-09-01,0.89,0.9833333333333334,1.0699999999999998,1.0474999999999999,1.0086666666666666,1.0094444444444444,1.0319047619047619,1.0808333333333333,1.0152103174603173,0.3801553924834182,1.0,1.22,1.16,0.82,0.99,1.05,1.38,1.47,-0.10999999999999999,-0.19398907103825125,-0.07758620689655182,0.2774390243902438,0.018855218855218903,-0.03862433862433878,-0.25224292615596955,-0.2647392290249433,-0.080110941061824,0.5953639614201864,2017-09-01,0.45189158212900765,,
2017-07-01,0.95,2017-08-01,0.9333333333333332,1.0416666666666665,1.102222222222222,1.0433333333333332,1.0166666666666666,1.0194444444444446,1.0561904761904763,1.1058333333333334,1.0398363095238095,0.3922362811309346,1.06,1.22,0.92,0.83,1.04,1.19,1.43,1.65,-0.11949685534591203,-0.14617486338797825,0.19806763285024132,0.25702811244979906,-0.022435897435897578,-0.14332399626517256,-0.2614052614052612,-0.32979797979797965,-0.07094238854227011,0.5965203049177311,2017-08-01,0.46033095572653343,,
2017-06-01,0.85,2017-07-01,0.9700000000000001,1.0866666666666667,1.0988888888888888,1.0333333333333332,1.0226666666666666,1.032777777777778,1.0790476190476193,1.135,1.057297619047619,0.4011736035282983,1.17,1.29,0.86,0.91,1.01,1.26,1.46,1.67,-0.17094017094017078,-0.15762273901808788,0.2777777777777777,0.13553113553113527,0.012541254125412404,-0.18033509700176353,-0.26092628832354847,-0.32035928143712566,-0.08304167616079637,0.5948863391410951,2017-07-01,0.46574451539923056,,
2017-05-01,1.0,2017-06-01,1.0766666666666667,1.16,1.0999999999999999,1.0383333333333333,1.0333333333333332,1.0555555555555556,1.108095238095238,1.1691666666666665,1.092643849206349,0.4182025048692688,1.22,1.16,0.82,0.99,1.05,1.38,1.47,1.59,-0.11748633879781423,0.0,0.3414634146341462,0.04882154882154888,-0.01587301587301604,-0.23510466988727852,-0.24619371558147074,-0.2646750524109016,-0.06113097863684826,0.5976987603599909,2017-06-01,0.4780345900328428,,
2017-04-01,1.06,2017-05-01,1.1500000000000001,1.1866666666666668,1.08,1.0375,1.0366666666666668,1.0766666666666669,1.1304761904761906,1.19375,1.111465773809524,0.42787453738321296,1.22,0.92,0.83,1.04,1.19,1.43,1.65,1.4,-0.05737704918032771,0.28985507246376807,0.3012048192771086,-0.0024038461538461453,-0.12885154061624626,-0.24708624708624694,-0.31486291486291473,-0.1473214285714285,-0.0383553918412667,0.60057545019951,2017-05-01,0.4854415083219787,,
