Date,Price,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.6616936836405538,ag2
1975-07-01 00:00:00,92.49,1975-07-01,91.66333333333334,87.265,81.66222222222223,79.04583333333333,80.48800000000001,82.81500000000001,84.93142857142858,87.61500000000001,84.4357271825397,0.6595195802969863,84.72,72.56,69.44,79.31,92.46,96.11,109.8,105.8,0.08195624803273538,0.2026598676957001,0.1760112647209422,-0.0033308115832387797,-0.12948301968418752,-0.13833107897201113,-0.22648972157168867,-0.1718809073724007,-0.02611101984176864,0.18423380436414075,1975-07-01,0.25213177235454726,,
1975-06-01 00:00:00,92.4,1975-06-01,89.07333333333334,83.94333333333334,79.10111111111112,77.9475,80.48600000000002,83.01611111111112,85.75571428571429,88.16958333333334,83.43658581349207,0.644844695301774,83.78,67.07,68.12,89.79,97.44,94.78,105.6,104.8,0.06318134797485486,0.25157795338203903,0.16120245318718607,-0.1318910791847645,-0.17399425287356296,-0.12411784014442795,-0.18791937229437217,-0.15868718193384224,-0.03758099648586123,0.1437220950731422,1975-06-01,0.21531103796294676,,
1975-05-01 00:00:00,90.1,1975-05-01,86.2,79.72166666666668,76.40333333333334,77.73,80.82199999999999,83.14833333333333,86.3842857142857,88.68624999999999,82.38698363095237,0.629251471967232,80.1,71.74,76.03,89.67,93.45,102.0,103.8,107.2,0.07615480649188533,0.11125824737477963,0.004910342408698254,-0.13315490130478413,-0.13513108614232228,-0.18482026143790853,-0.16778144783925142,-0.17270289179104492,-0.07515839902999351,0.05583949374162641,1975-05-01,0.13775549063099862,,
1975-04-01 00:00:00,84.72,1975-04-01,82.86666666666666,76.66166666666666,74.83999999999999,77.69416666666665,81.04533333333332,83.80944444444442,87.03666666666665,89.39874999999996,81.66908680555554,0.6194221144085814,72.56,69.44,79.31,92.46,96.11,109.8,105.8,110.3,0.1420433664094083,0.1039986559139785,-0.056361114613541985,-0.15969968995601713,-0.1567440086012557,-0.23670815624367558,-0.17734719596723392,-0.18949456029011813,-0.09128908791855696,0.03404448368622083,1975-04-01,0.11766985950370092,,
1975-03-01 00:00:00,83.78,1975-03-01,78.81333333333333,74.115,74.23888888888888,78.33916666666666,81.80466666666665,85.20277777777775,88.04047619047617,90.46458333333332,81.37736160714284,0.6170475774625808,67.07,68.12,89.79,97.44,94.78,105.6,104.8,112.4,0.1750907012573928,0.08800645918966521,-0.17319424335795885,-0.19602661466885618,-0.13689948653021056,-0.19315551346801363,-0.15991912031988387,-0.19515495255041537,-0.09890659630603506,0.025868875042618922,1975-03-01,0.11032297538832776,,
1975-02-01 00:00:00,80.1,1975-02-01,73.24333333333333,71.505,74.90666666666665,79.47749999999998,82.53799999999998,86.41499999999998,89.04142857142854,91.65708333333332,81.09800148809522,0.6149330189637257,71.74,76.03,89.67,93.45,102.0,103.8,107.2,114.2,0.020955301551900396,-0.05951598053399976,-0.1646407196758487,-0.14951845906902117,-0.19080392156862758,-0.16748554913294822,-0.16938965884861434,-0.19739856976065395,-0.13472469462972667,0.006891867141395638,1975-02-01,0.09375488883029992,,
1975-01-01 00:00:00,72.56,1975-01-01,70.45666666666666,70.82666666666667,75.97,80.59000000000002,83.998,87.73166666666665,90.33190476190475,93.07791666666664,81.62285267857142,0.6265402815118526,69.44,79.31,92.46,96.11,109.8,105.8,110.3,118.4,0.014640937019969158,-0.10696423317782544,-0.17834739346744533,-0.16148163562584517,-0.2349908925318761,-0.17077819785759307,-0.1810344083236196,-0.21386894707207238,-0.1541030963795385,0.0027810220706897433,1975-01-01,0.09188948770514158,,
1974-12-01 00:00:00,67.07,1974-12-01,69.41666666666667,71.95166666666667,78.18111111111111,82.5525,86.48066666666666,89.57833333333332,92.12904761904761,94.98791666666666,83.15973859126984,0.6545943203965455,68.12,89.79,97.44,94.78,105.6,104.8,112.4,117.5,0.019035036210608647,-0.19866726064520923,-0.19764869549352315,-0.1290092846592109,-0.18105429292929287,-0.14524491094147596,-0.18034655143196077,-0.1915921985815603,-0.15056601980895307,0.0027475369338800988,1974-12-01,0.09586850599997516,,
1974-11-01 00:00:00,71.74,1974-11-01,69.76666666666667,75.73833333333334,81.55555555555556,84.86166666666666,89.04933333333334,91.67444444444443,94.28761904761905,97.08916666666666,85.5028482142857,0.6940828901518148,76.03,89.67,93.45,102.0,103.8,107.2,114.2,115.1,-0.08237976237450129,-0.15536597152522202,-0.12728137447238574,-0.1680228758169935,-0.14210661528580593,-0.1448279436152572,-0.17436410641314326,-0.15647987257457285,-0.14385356525973522,0.003100107036429568,1974-11-01,0.10181193319577031,,
1974-10-01 00:00:00,69.44,1974-10-01,71.19666666666667,78.72666666666667,83.96777777777778,87.38333333333333,91.18666666666665,93.64444444444443,96.3095238095238,98.89583333333331,87.66386408730159,0.7284453619070241,79.31,92.46,96.11,109.8,105.8,110.3,118.4,109.6,-0.10229899550287891,-0.14853269882471687,-0.1263367206557301,-0.20415907710989678,-0.13812224322621314,-0.15100231691346844,-0.18657496782496796,-0.09766575425790769,-0.14433659678947247,0.0025587934002534343,1974-10-01,0.10625687461550638,,
