DATE,A191RO1Q156NBEA,model date,1,2,3,4,6,8,average,normalize,0.5738507912382249,k2
1987-10-01,4.5,1988-01-01,4.5,3.9,3.733333333333333,3.4749999999999996,3.3166666666666664,3.4624999999999995,3.7312499999999993,0.5781354188829095,,
1987-07-01,3.3,1987-10-01,3.3,3.3499999999999996,3.133333333333333,3.0749999999999997,3.183333333333333,3.4249999999999994,3.244444444444444,0.508568123037372,,
1987-04-01,3.4,1987-07-01,3.4,3.05,3.0,3.025,3.3166666666666664,3.55,3.223611111111111,0.506623758236854,,
1987-01-01,2.7,1987-04-01,2.7,2.8,2.9,3.0999999999999996,3.4499999999999997,3.5875,3.089583333333333,0.48825588389853086,,
1986-10-01,2.9,1987-01-01,2.9,3.0,3.233333333333333,3.4499999999999997,3.716666666666667,3.825,3.354166666666666,0.5272451942145375,,
1986-07-01,3.1,1986-10-01,3.1,3.4000000000000004,3.6333333333333333,3.7750000000000004,3.85,4.1625000000000005,3.6534722222222222,0.5708110444534387,,
1986-04-01,3.7,1986-07-01,3.7,3.9,4.0,4.075,4.1000000000000005,4.6375,4.0687500000000005,0.6270996449761067,,
1986-01-01,4.1,1986-04-01,4.1,4.15,4.2,4.075,4.416666666666667,5.175,4.352777777777778,0.6609619302524463,,
1985-10-01,4.2,1986-01-01,4.2,4.25,4.066666666666666,4.199999999999999,4.883333333333333,5.7375,4.5562499999999995,0.6796561789132752,,
1985-07-01,4.3,1985-10-01,4.3,4.0,4.2,4.55,5.516666666666667,6.2,4.794444444444444,0.6990061143013152,,
1985-04-01,3.7,1985-07-01,3.7,4.15,4.633333333333334,5.2,6.233333333333333,6.375,5.048611111111112,0.7192301737868131,,
1985-01-01,4.6,1985-04-01,4.6,5.1,5.7,6.275,6.933333333333334,6.325,5.822222222222222,0.7969509976973081,,
1984-10-01,5.6,1985-01-01,5.6,6.25,6.833333333333333,7.275,7.116666666666667,5.925,6.5,0.8543570546059442,,
1984-07-01,6.9,1984-10-01,6.9,7.45,7.833333333333333,7.85,6.733333333333333,5.05,6.969444444444444,0.8881201083524239,,
1984-04-01,8.0,1984-07-01,8.0,8.3,8.166666666666666,7.55,5.816666666666666,3.8625,6.949305555555554,0.8897808586682984,,
1984-01-01,8.6,1984-04-01,8.6,8.25,7.3999999999999995,6.375,4.25,2.7375,6.26875,0.8449643419434755,,
1983-10-01,7.9,1984-01-01,7.9,6.800000000000001,5.633333333333334,4.575,2.3833333333333337,1.3875000000000002,4.779861111111111,0.6964690877494829,,
1983-07-01,5.7,1983-10-01,5.7,4.5,3.466666666666667,2.25,0.9,0.5625,2.8965277777777776,0.44170522682212066,,
1983-04-01,3.3,1983-07-01,3.3,2.3499999999999996,1.0999999999999999,0.17499999999999982,-0.4166666666666668,0.38749999999999984,1.1493055555555554,0.22035788479010116,,
1983-01-01,1.4,1983-04-01,1.4,0.0,-0.8666666666666667,-0.9,-0.7500000000000001,0.34999999999999987,-0.12777777777777785,0.10872297993396837,,
1982-10-01,-1.4,1983-01-01,-1.4,-2.0,-1.6666666666666667,-1.8,-0.2666666666666668,0.37499999999999994,-1.1263888888888889,0.05411476666395636,,
1982-07-01,-2.6,1982-10-01,-2.6,-1.8,-1.9333333333333336,-1.1250000000000002,0.4666666666666665,0.5499999999999998,-1.0736111111111113,0.05038041272998604,,
1982-04-01,-1.0,1982-07-01,-1.0,-1.6,-0.6333333333333334,0.5999999999999999,1.1666666666666667,0.675,-0.1319444444444445,0.08508760231933388,,
1982-01-01,-2.2,1982-04-01,-2.2,-0.45000000000000007,1.133333333333333,1.5999999999999999,1.3333333333333333,0.7000000000000001,0.35277777777777763,0.10772565460553335,,
1981-10-01,1.3,1982-01-01,1.3,2.8,2.8666666666666667,2.55,1.4333333333333333,1.15,2.0166666666666666,0.2544747814897379,,
1981-07-01,4.3,1981-10-01,4.3,3.65,2.966666666666667,2.225,1.0833333333333335,1.1500000000000001,2.5625,0.3178969752469354,,
1981-04-01,3.0,1981-07-01,3.0,2.3,1.5333333333333332,0.7499999999999999,0.5999999999999999,0.9124999999999999,1.5159722222222223,0.1880564877646397,,
1981-01-01,1.6,1981-04-01,1.6,0.8,0.0,-0.2,0.31666666666666665,0.875,0.5652777777777778,0.10523711845635324,,
1980-10-01,0.0,1981-01-01,0.0,-0.8,-0.8000000000000002,-0.2500000000000001,0.4499999999999999,1.4874999999999998,0.014583333333333282,0.07146670834148973,,
1980-07-01,-1.6,1980-10-01,-1.6,-1.2000000000000002,-0.3333333333333335,0.0749999999999999,0.8999999999999999,2.3249999999999997,0.027777777777777606,0.07375186824964428,,
1980-04-01,-0.8,1980-07-01,-0.8,0.29999999999999993,0.6333333333333333,1.075,2.25,3.175,1.1055555555555554,0.14279855510882875,,
1980-01-01,1.4,1980-04-01,1.4,1.35,1.7,1.95,3.5,4.0375,2.3229166666666665,0.26785061682100464,,
1979-10-01,1.3,1980-01-01,1.3,1.85,2.1333333333333333,3.225,4.133333333333334,4.375,2.836111111111111,0.3376107690201047,,
1979-07-01,2.4,1979-10-01,2.4,2.55,3.8666666666666667,4.575,4.933333333333334,4.8375,3.860416666666667,0.48935298176587744,,
1979-04-01,2.7,1979-07-01,2.7,4.6,5.3,5.2749999999999995,5.216666666666666,5.262499999999999,4.725694444444444,0.622388465834076,,
1979-01-01,6.5,1979-04-01,6.5,6.6,6.133333333333333,6.125,5.6000000000000005,5.4875,6.074305555555555,0.7971331962166045,,
1978-10-01,6.7,1979-01-01,6.7,5.95,6.0,5.525,5.483333333333333,5.075,5.788888888888889,0.7547887496655311,,
1978-07-01,5.2,1978-10-01,5.2,5.65,5.133333333333334,5.1,5.116666666666666,4.7749999999999995,5.1625000000000005,0.6691622495235009,,
1978-04-01,6.1,1978-07-01,6.1,5.1,5.066666666666666,5.25,4.783333333333333,4.75,5.175,0.6753499854196382,,
1978-01-01,4.1,1978-04-01,4.1,4.55,4.966666666666666,4.85,4.483333333333333,4.7625,4.6187499999999995,0.6048400358821531,,
1977-10-01,5.0,1978-01-01,5.0,5.4,5.1000000000000005,4.625,4.633333333333334,5.025,4.963888888888889,0.6610184436025921,,
1977-07-01,5.8,1977-10-01,5.8,5.15,4.5,4.45,4.833333333333333,4.7250000000000005,4.909722222222222,0.6614690142758726,,
1977-04-01,4.5,1977-07-01,4.5,3.85,4.0,4.25,4.8999999999999995,4.1,4.266666666666667,0.5826202645814915,,
1977-01-01,3.2,1977-04-01,3.2,3.75,4.166666666666667,4.675,4.583333333333333,3.3125,3.9479166666666665,0.5402021351218051,,
1976-10-01,4.3,1977-01-01,4.3,4.65,5.166666666666667,5.425,4.183333333333334,2.625,4.391666666666667,0.6043475531061622,,
1976-07-01,5.0,1976-10-01,5.0,5.6,5.8,5.0,3.1666666666666665,1.8499999999999999,4.402777777777778,0.6079726703119117,,
1976-04-01,6.2,1976-07-01,6.2,6.2,5.0,3.95,1.95,1.15,4.074999999999999,0.5676695107397272,,
1976-01-01,6.2,1976-04-01,6.2,4.4,3.2000000000000006,1.9500000000000004,0.6000000000000003,0.3500000000000002,2.7833333333333345,0.39488511837284823,,
1975-10-01,2.6,1976-01-01,2.6,1.7000000000000002,0.5333333333333334,-0.17499999999999988,-0.5333333333333333,-0.35,0.6291666666666668,0.15308723980667846,,
1975-07-01,0.8,1975-10-01,0.8,-0.5,-1.0999999999999999,-1.2999999999999998,-0.9999999999999999,-0.17499999999999993,-0.5458333333333333,0.07377140369718085,,
1975-04-01,-1.8,1975-07-01,-1.8,-2.05,-2.0,-1.65,-1.0333333333333334,0.32499999999999996,-1.3680555555555556,0.03863539374850748,,
1975-01-01,-2.3,1975-04-01,-2.3,-2.0999999999999996,-1.5999999999999996,-1.2499999999999998,-0.06666666666666658,1.3375,-0.9965277777777777,0.045277045029595356,,
1974-10-01,-1.9,1975-01-01,-1.9,-1.25,-0.9,-0.525,1.1166666666666665,2.575,-0.14722222222222228,0.07260514291520948,,
1974-07-01,-0.6,1974-10-01,-0.6,-0.4,-0.0666666666666667,0.95,2.483333333333333,3.675,1.0069444444444444,0.13636320628452905,,
1974-04-01,-0.2,1974-07-01,-0.2,0.19999999999999998,1.4666666666666668,2.3,3.85,4.425,2.0069444444444446,0.22697506488221778,,
1974-01-01,0.6,1974-04-01,0.6,2.3,3.133333333333333,3.925,5.033333333333332,5.112499999999999,3.350694444444444,0.4092706871090576,,
1973-10-01,4.0,1974-01-01,4.0,4.4,5.033333333333334,5.675000000000001,5.833333333333333,5.475,5.069444444444444,0.666212378095425,,
1973-07-01,4.8,1973-10-01,4.8,5.55,6.233333333333333,6.4,6.05,5.5249999999999995,5.759722222222223,0.7560982327560422,,
