DATE,UNRATE,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.7916089527029311,ag2
2017-08-01,4.4,2017-09-01,4.333333333333333,4.366666666666666,4.466666666666667,4.566666666666667,4.626666666666667,4.677777777777778,4.714285714285715,4.754166666666667,4.56327876984127,0.8002055883971149,4.4,4.6,4.7,4.9,4.8,4.9,5.1,5.1,-0.015151515151515249,-0.050724637681159424,-0.049645390070921946,-0.0680272108843537,-0.03611111111111098,-0.04535147392290251,-0.07563025210084007,-0.06781045751633963,-0.05105650605489294,0.7090848982698931,2017-09-01,0.754645243333504,,
2017-07-01,4.3,2017-08-01,4.333333333333333,4.3999999999999995,4.5,4.608333333333333,4.653333333333333,4.705555555555556,4.747619047619048,4.783333333333333,4.591438492063491,0.7960964345869977,4.4,4.7,4.9,4.8,5.0,4.9,5.0,5.2,-0.015151515151515249,-0.06382978723404276,-0.08163265306122458,-0.03993055555555547,-0.06933333333333336,-0.039682539682539764,-0.05047619047619045,-0.08012820512820518,-0.05502059745282585,0.7224310844636382,2017-08-01,0.759263759525318,,
2017-06-01,4.3,2017-07-01,4.366666666666666,4.466666666666667,4.566666666666666,4.6499999999999995,4.7,4.73888888888889,4.780952380952381,4.820833333333334,4.636334325396825,0.7890274195498463,4.4,4.7,5.0,4.9,5.0,5.0,5.0,5.3,-0.007575757575757791,-0.049645390070921946,-0.08666666666666667,-0.051020408163265474,-0.05999999999999994,-0.05222222222222206,-0.043809523809523854,-0.09040880503144644,-0.05516859669247552,0.723259468698108,2017-07-01,0.7561434441239772,,
2017-05-01,4.4,2017-06-01,4.4,4.533333333333333,4.644444444444444,4.699999999999999,4.746666666666666,4.777777777777778,4.814285714285714,4.8625,4.684875992063492,0.7811345041228374,4.6,4.7,4.9,4.8,4.9,5.1,5.1,5.6,-0.04347826086956508,-0.03546099290780147,-0.052154195011338,-0.02083333333333348,-0.03129251700680291,-0.0631808278867102,-0.05602240896358546,-0.1316964285714286,-0.05426487056882065,0.720620448491387,2017-06-01,0.7508774763071122,,
2017-04-01,4.4,2017-05-01,4.466666666666667,4.583333333333333,4.699999999999999,4.7333333333333325,4.779999999999999,4.816666666666666,4.847619047619046,4.912499999999999,4.730014880952381,0.7736722596813326,4.7,4.9,4.8,5.0,4.9,5.0,5.2,5.4,-0.049645390070921946,-0.06462585034013624,-0.02083333333333348,-0.053333333333333455,-0.02448979591836753,-0.036666666666666736,-0.06776556776556808,-0.09027777777777812,-0.0509547144007632,0.7098358003851046,2017-05-01,0.7417540300332186,,
2017-03-01,4.4,2017-04-01,4.566666666666666,4.666666666666667,4.744444444444444,4.783333333333332,4.8133333333333335,4.85,4.885714285714285,4.954166666666667,4.783040674603174,0.7645666475009383,4.7,5.0,4.9,5.0,5.0,5.0,5.3,5.4,-0.028368794326241176,-0.06666666666666665,-0.031746031746031966,-0.04333333333333356,-0.03733333333333333,-0.030000000000000027,-0.07816711590296499,-0.08256172839506182,-0.04977212546295419,0.7063963760218127,2017-04-01,0.7354815117613756,,
2017-02-01,4.6,2017-03-01,4.666666666666667,4.766666666666667,4.8,4.833333333333333,4.8533333333333335,4.883333333333333,4.928571428571428,4.995833333333333,4.840967261904762,0.754269605959306,4.7,4.9,4.8,4.9,5.1,5.1,5.6,5.5,-0.007092198581560294,-0.027210884353741527,0.0,-0.013605442176870874,-0.048366013071895364,-0.042483660130719025,-0.11989795918367352,-0.09166666666666679,-0.043790353020640924,0.6862457492387101,2017-03-01,0.720257677599008,,
2017-01-01,4.7,2017-02-01,4.7,4.816666666666666,4.822222222222221,4.8583333333333325,4.886666666666666,4.91111111111111,4.9761904761904745,5.033333333333332,4.875565476190475,0.7482162432604874,4.9,4.8,5.0,4.9,5.0,5.2,5.4,5.7,-0.04081632653061229,0.003472222222222321,-0.035555555555555785,-0.008503401360544505,-0.022666666666666835,-0.05555555555555591,-0.07848324514991223,-0.1169590643274856,-0.044383449115513854,0.688589437222916,2017-02-01,0.7184028402417018,,
2016-12-01,4.7,2017-01-01,4.766666666666667,4.833333333333334,4.855555555555556,4.875,4.906666666666666,4.938888888888888,5.009523809523809,5.075,4.907579365079365,0.7425592227551996,5.0,4.9,5.0,5.0,5.0,5.3,5.4,5.6,-0.046666666666666634,-0.013605442176870652,-0.028888888888888742,-0.025000000000000022,-0.01866666666666672,-0.06813417190775695,-0.07231040564373925,-0.09374999999999989,-0.04587778024382361,0.6944028675765939,2017-01-01,0.7184810451658967,,
2016-11-01,4.7,2016-12-01,4.866666666666667,4.866666666666667,4.888888888888889,4.8999999999999995,4.926666666666667,4.972222222222222,5.042857142857143,5.1125,4.947058531746031,0.7353043210452671,4.9,4.8,4.9,5.1,5.1,5.6,5.5,5.8,-0.006802721088435382,0.013888888888889062,-0.0022675736961451642,-0.03921568627450989,-0.03398692810457504,-0.11210317460317454,-0.08311688311688314,-0.11853448275862066,-0.047767320094181845,0.7014140641163006,2016-12-01,0.7183591925807838,,
