DATE,RPI
1/1/68,3696.369
12/1/67,3676.099
11/1/67,3665.947
10/1/67,3642.954
9/1/67,3638.065
8/1/67,3635.186
7/1/67,3618.237
6/1/67,3599.712
5/1/67,3585.655
4/1/67,3579.065
3/1/67,3581.912
2/1/67,3560.296
1/1/67,3555.959
12/1/66,3523.285
11/1/66,3524.207
10/1/66,3502.544
9/1/66,3488.089
8/1/66,3467.197
7/1/66,3449.911
6/1/66,3435.922
5/1/66,3419.257
4/1/66,3408.047
3/1/66,3410.908
2/1/66,3392.671
1/1/66,3376.056
12/1/65,3367.654
11/1/65,3349.858
10/1/65,3325.19
9/1/65,3339.633
8/1/65,3259.786
7/1/65,3246.193
6/1/65,3224.517
5/1/65,3215.193
4/1/65,3197.567
3/1/65,3184.371
2/1/65,3169.166
1/1/65,3167.304
12/1/64,3147.571
11/1/64,3116.674
10/1/64,3095.964
9/1/64,3094.138
8/1/64,3081.498
7/1/64,3064.205
6/1/64,3047.588
5/1/64,3037.006
4/1/64,3018.684
3/1/64,3000.65
2/1/64,2985.448
1/1/64,2973.077
12/1/63,2962.409
11/1/63,2939.294
10/1/63,2933.166
9/1/63,2917.004
8/1/63,2897.412
7/1/63,2887.255
6/1/63,2885.644
5/1/63,2872.09
4/1/63,2859.758
3/1/63,2851.943
2/1/63,2839.236
1/1/63,2854.282
12/1/62,2836.916
11/1/62,2823.396
10/1/62,2813.253
9/1/62,2798.293
8/1/62,2797.032
7/1/62,2792.639
6/1/62,2779.102
5/1/62,2775.336
4/1/62,2771.299
3/1/62,2757.168
2/1/62,2738.289
1/1/62,2726.972
12/1/61,2729.569
11/1/61,2713.233
10/1/61,2689.17
9/1/61,2662.939
8/1/61,2659.675
7/1/61,2658.206
6/1/61,2650.641
5/1/61,2625.914
4/1/61,2605.645
3/1/61,2600
2/1/61,2589.302
1/1/61,2579.433
12/1/60,2556.521
11/1/60,2568.231
10/1/60,2579.283
9/1/60,2571.676
8/1/60,2568.401
7/1/60,2572.575
6/1/60,2567.866
5/1/60,2565.84
4/1/60,2559.682
3/1/60,2550.928
2/1/60,2546.061
1/1/60,2543.148
12/1/59,2535.041
11/1/59,2509.323
10/1/59,2490.334
9/1/59,2487.29
8/1/59,2485.33
7/1/59,2499.525
6/1/59,2500.989
5/1/59,2493.228
4/1/59,2478.744
3/1/59,2462.689
2/1/59,2446.902
1/1/59,2437.296
